"Blooket
Import Template"
"Question #","Question Text","Answer 1","Answer 2","Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)"
1,"A Pod exposes containerPort 8080, but its Service targetPort is 80. What happens when traffic reaches the Service?","Traffic is automatically translated from 80 to 8080","The Service forwards traffic to port 80 on the Pod, so the application must listen on 80","Kubernetes automatically detects that the container listens on 8080","The Service cannot have a targetPort different from containerPort","30","2"
2,"A Service has type ClusterIP and selector app=api. The selector matches no Pods. What is the most likely result?","The Service gets no ClusterIP","The Service creates a Pod automatically","The Service exists but has no ready endpoints","The Service changes itself to NodePort","30","3"
3,"Which kubectl command is most useful for determining why a Deployment's Pods are repeatedly failing to start?","kubectl get deployment -o yaml","kubectl describe pod <pod-name>","kubectl expose deployment <name>","kubectl port-forward deployment/<name>","25","2"
4,"A Deployment has replicas=3, but only 2 Pods are running. Which command best shows the controller's desired/current/ready replica counts?","kubectl get deployment","kubectl get service","kubectl get pv","kubectl get ingress","20","1"
5,"A container image is configured with imagePullPolicy: IfNotPresent. Under which condition will Kubernetes normally attempt to pull the image?","Every time the Pod restarts","Only when the image is not already present on the node","Only when the image tag is latest","Only after the Deployment is scaled","25","2"
6,"A Pod specifies image: nginx:latest but imagePullPolicy is omitted. What pull policy does Kubernetes normally default to for this image tag?","Always","Never","IfNotPresent","OnFailure","25","1"
7,"A container specification has command: [""sleep""] and args: [""3600""]. What command does the container effectively execute?","sleep 3600","3600 sleep","/bin/sh -c sleep 3600 in every case","sleep","20","1"
8,"A Docker image has ENTRYPOINT [""python""] and CMD [""app.py""]. A Kubernetes container specifies args: [""worker.py""]. What is the effective command?","python app.py","python worker.py","worker.py python","/bin/sh worker.py","30","2"
9,"Which statements about Kubernetes Service ClusterIP are correct?","It is normally reachable only from within the cluster","It provides a stable virtual IP for the Service","It must be the IP address of one of the Pods","It can load-balance traffic to matching endpoints","30","1,2,4"
10,"A Service has port: 80 and targetPort: 8080. A client connects to the Service IP on port 80. Where does Kubernetes send the traffic?","Pod port 80","Node port 80","Pod port 8080","Container port 443","25","3"
11,"An Ingress resource exists, but requests to its hostname return a connection error. Which component is essential for the Ingress rules to actually process traffic?","PersistentVolume controller","Ingress controller","StorageClass","CoreDNS only","25","2"
12,"Which statement about an Ingress backend is correct?","It normally routes HTTP/HTTPS traffic to a Service","It directly creates Pods for each hostname","It requires every Pod to have a public IP","It replaces the need for Services in all cases","25","1"
13,"A Deployment uses selector matchLabels app=frontend, but the Pod template labels are app=backend. What is the likely result?","The Deployment can correctly manage the Pods","The API server automatically changes backend to frontend","The Deployment selector does not match its Pod template and the configuration is rejected","The Service automatically fixes the labels","30","3"
14,"A PVC requests 20Gi with accessModes ReadWriteOnce. A StorageClass dynamically provisions a 50Gi volume. Which statement is most accurate?","The PVC can bind to a dynamically provisioned volume meeting the requested capacity","The PVC always rejects volumes larger than the request","The PVC must request exactly 50Gi","ReadWriteOnce means the volume can never be mounted by a Pod","30","1"
15,"What is the primary purpose of a StorageClass?","To define how storage should be dynamically provisioned","To expose Pods through a ClusterIP","To store container environment variables","To assign IP addresses to Pods","25","1"
16,"A PVC remains in Pending state even though a StorageClass exists. Which are plausible causes?","No suitable PV or dynamic provisioner is available","The requested storage cannot be satisfied","The access mode or storage requirements are incompatible","A Service selector is incorrect","30","1,2,3"
17,"Which command displays PersistentVolumes and their current binding status?","kubectl get pv","kubectl get svc","kubectl get sc","kubectl get ingress","20","1"
18,"Which command shows the StorageClass definitions in the cluster?","kubectl get storageclass","kubectl get deployment","kubectl get endpoints","kubectl get nodes -o wide","20","1"
19,"A Pod is Running but clients cannot connect to the application through a Service. Which checks are most relevant?","Verify the Service selector matches Pod labels","Check the Service endpoints","Verify targetPort matches the application's listening port","Delete the StorageClass","30","1,2,3"
20,"A Pod has IP 10.244.2.15 and a Service has ClusterIP 10.96.0.20. Which statement is correct?","Clients should generally use the Service IP rather than depending on the Pod IP","The Pod IP must equal the ClusterIP","The ClusterIP is assigned directly to the Pod","The Service IP changes every time a Pod restarts","25","1"
21,"Which command is best for inspecting the full YAML definition of a Service, including its selector and ports?","kubectl get svc <name> -o yaml","kubectl logs svc/<name>","kubectl exec svc/<name> -- sh","kubectl describe node <name>","20","1"
22,"A Deployment's Pods are stuck in ImagePullBackOff. Which issues could cause this?","Incorrect image name or tag","Private registry authentication failure","Registry/network connectivity problems","Incorrect Service ClusterIP","30","1,2,3"
23,"A container exits immediately with code 1, and the Pod enters CrashLoopBackOff. Which commands are particularly useful for troubleshooting?","kubectl logs <pod-name> --previous","kubectl describe pod <pod-name>","kubectl get pod <pod-name> -o yaml","kubectl get pv","30","1,2,3"
24,"A Service uses selector app=web, but the Pods use labels app=frontend. What is the most likely networking symptom?","The Service has no matching endpoints","The Service automatically changes its selector","Traffic is sent to every Pod in the namespace","The Pods receive the Service ClusterIP","25","1"
25,"A Deployment has 3 replicas and uses a container with imagePullPolicy: Always. One Pod is deleted and recreated on the same node. What is Kubernetes expected to do regarding the image?","Never contact the registry because the image is cached","Attempt to pull/check the image from the registry","Change the Deployment to IfNotPresent","Delete the Service ClusterIP","30","2"
